raceId,year,circuit,lat,lng,milliseconds,datetime,temp,clouds,wind_speed,wind_deg,weather_main,weather_desc
85,2005,Italian Grand Prix,45.6156,9.28111,4468659,2005-09-04 14:00:00,24.87,40.0,2.6,140.0,Clouds,scattered clouds
86,2005,Belgian Grand Prix,50.4372,5.97139,5401295,2005-09-11 14:00:00,16.53,100.0,2.0,310.0,Fog,fog
87,2005,Brazilian Grand Prix,-23.7036,-46.6997,5360574,2005-09-25 14:00:00,20.57,75.0,4.1,340.0,Rain,light rain
88,2005,Japanese Grand Prix,34.8431,136.541,5342212,2005-10-09 14:00:00,19.56,87.0,0.5,30.0,Clouds,overcast clouds
89,2005,Chinese Grand Prix,31.3389,121.22,5993618,2005-10-16 14:00:00,16.6,0.0,1.0,0.0,Clear,clear sky
337,2010,Bahrain Grand Prix,26.0325,50.5106,5960396,2010-03-14 12:00:00,25.05,0.0,2.61,68.0,Clear,clear sky
338,2010,Australian Grand Prix,-37.8497,144.968,5616531,2010-03-28 06:00:00,23.41,100.0,6.2,300.0,Rain,light rain
339,2010,Malaysian Grand Prix,2.76083,101.738,5628412,2010-04-04 08:00:00,30.33,75.0,5.1,120.0,Clouds,broken clouds
340,2010,Chinese Grand Prix,31.3389,121.22,6402163,2010-04-18 06:00:00,20.32,0.0,6.0,140.0,Rain,light rain
341,2010,Spanish Grand Prix,41.57,2.26111,5744101,2010-05-09 12:00:00,18.25,20.0,4.1,200.0,Clouds,few clouds
342,2010,Monaco Grand Prix,43.7347,7.42056,6613355,2010-05-16 12:00:00,17.99,40.0,5.7,180.0,Clouds,scattered clouds
343,2010,Turkish Grand Prix,40.9517,29.405,5327620,2010-05-30 11:00:00,26.35,17.0,2.04,276.0,Clouds,few clouds
344,2010,Canadian Grand Prix,45.5,-73.5228,5633456,2010-06-13 16:00:00,23.59,0.0,4.6,60.0,Clear,clear sky
345,2010,European Grand Prix,39.4589,-0.331667,6029571,2010-06-27 12:00:00,27.32,20.0,5.1,110.0,Clouds,few clouds
346,2010,British Grand Prix,52.0786,-1.01694,5078200,2010-07-11 12:00:00,21.75,100.0,4.23,270.0,Clouds,overcast clouds
347,2010,German Grand Prix,49.3278,8.56583,5258864,2010-07-25 12:00:00,21.03,0.0,1.5,0.0,Clear,clear sky
348,2010,Hungarian Grand Prix,47.5789,19.2486,6065571,2010-08-01 12:00:00,28.58,40.0,2.6,240.0,Clouds,scattered clouds
349,2010,Belgian Grand Prix,50.4372,5.97139,5344268,2010-08-29 12:00:00,14.57,40.0,6.0,260.0,Rain,light rain
350,2010,Italian Grand Prix,45.6156,9.28111,4584572,2010-09-12 12:00:00,22.62,20.0,1.0,130.0,Clouds,few clouds
351,2010,Singapore Grand Prix,1.2914,103.864,7073579,2010-09-26 12:00:00,29.87,75.0,1.5,230.0,Haze,haze
352,2010,Japanese Grand Prix,34.8431,136.541,5427323,2010-10-10 06:00:00,24.58,40.0,5.7,320.0,Clouds,scattered clouds
353,2010,Korean Grand Prix,34.7333,126.417,10100810,2010-10-24 05:00:00,18.7,100.0,5.38,47.0,Rain,light rain
354,2010,Brazilian Grand Prix,-23.7036,-46.6997,5591803,2010-11-07 16:00:00,25.09,0.0,2.1,140.0,Clear,clear sky
355,2010,Abu Dhabi Grand Prix,24.4672,54.6031,5976837,2010-11-14 13:00:00,29.73,20.0,5.7,330.0,Rain,light rain
841,2011,Australian Grand Prix,-37.8497,144.968,5370259,2011-03-27 06:00:00,17.29,97.0,4.1,160.0,Clouds,overcast clouds
842,2011,Malaysian Grand Prix,2.76083,101.738,5859832,2011-04-10 08:00:00,28.06,75.0,1.0,220.0,Rain,light rain
843,2011,Chinese Grand Prix,31.3389,121.22,5818226,2011-04-17 07:00:00,21.18,0.0,3.0,190.0,Clear,clear sky
844,2011,Turkish Grand Prix,40.9517,29.405,5417558,2011-05-08 12:00:00,15.79,40.0,7.2,20.0,Clouds,scattered clouds
845,2011,Spanish Grand Prix,41.57,2.26111,5943301,2011-05-22 12:00:00,24.93,20.0,4.1,130.0,Clouds,few clouds
846,2011,Monaco Grand Prix,43.7347,7.42056,7778373,2011-05-29 12:00:00,20.33,20.0,2.6,110.0,Clouds,few clouds
847,2011,Canadian Grand Prix,45.5,-73.5228,14679537,2011-06-12 17:00:00,17.59,100.0,4.1,150.0,Rain,light rain
848,2011,European Grand Prix,39.4589,-0.331667,5976169,2011-06-26 12:00:00,29.47,0.0,5.1,110.0,Clear,clear sky
849,2011,British Grand Prix,52.0786,-1.01694,5321196,2011-07-10 12:00:00,19.13,40.0,0.92,257.0,Clouds,scattered clouds
850,2011,German Grand Prix,50.3356,6.9475,5850334,2011-07-24 12:00:00,11.92,100.0,5.1,230.0,Rain,light rain
851,2011,Hungarian Grand Prix,47.5789,19.2486,6402337,2011-07-31 12:00:00,18.32,75.0,5.7,270.0,Rain,light rain
852,2011,Belgian Grand Prix,50.4372,5.97139,5204893,2011-08-28 12:00:00,14.14,40.0,7.0,240.0,Clouds,scattered clouds
853,2011,Italian Grand Prix,45.6156,9.28111,4846172,2011-09-11 12:00:00,26.54,0.0,1.5,80.0,Clear,clear sky
854,2011,Singapore Grand Prix,1.2914,103.864,7146757,2011-09-25 12:00:00,30.01,75.0,2.6,210.0,Haze,haze
855,2011,Japanese Grand Prix,34.8431,136.541,5453427,2011-10-09 06:00:00,22.71,83.0,2.1,130.0,Clouds,broken clouds
856,2011,Korean Grand Prix,34.7333,126.417,5881994,2011-10-16 06:00:00,19.01,75.0,4.1,290.0,Rain,light intensity shower rain
857,2011,Indian Grand Prix,28.3487,77.5331,5435002,2011-10-30 09:30:00,27.03,0.0,2.5,275.0,Clear,clear sky
858,2011,Abu Dhabi Grand Prix,24.4672,54.6031,5831886,2011-11-13 13:00:00,27.36,0.0,3.6,330.0,Clear,clear sky
859,2011,Brazilian Grand Prix,-23.7036,-46.6997,5537464,2011-11-27 16:00:00,23.37,75.0,4.6,170.0,Rain,moderate rain
860,2012,Australian Grand Prix,-37.8497,144.968,5649565,2012-03-18 06:00:00,20.24,0.0,4.6,150.0,Clear,clear sky
861,2012,Malaysian Grand Prix,2.76083,101.738,9891812,2012-03-25 08:00:00,28.81,75.0,7.2,40.0,Thunderstorm,thunderstorm
862,2012,Chinese Grand Prix,31.3389,121.22,5786929,2012-04-15 07:00:00,20.4,0.0,1.0,0.0,Clear,clear sky
863,2012,Bahrain Grand Prix,26.0325,50.5106,5710990,2012-04-22 12:00:00,24.16,17.0,3.37,19.0,Clouds,few clouds
864,2012,Spanish Grand Prix,41.57,2.26111,5949145,2012-05-13 12:00:00,23.2,40.0,4.1,120.0,Clouds,scattered clouds
865,2012,Monaco Grand Prix,43.7347,7.42056,6366557,2012-05-27 12:00:00,19.5,75.0,3.1,130.0,Clouds,broken clouds
866,2012,Canadian Grand Prix,45.5,-73.5228,5549586,2012-06-10 18:00:00,25.97,0.0,3.09,100.0,Clear,clear sky
867,2012,European Grand Prix,39.4589,-0.331667,6256649,2012-06-24 12:00:00,28.16,0.0,6.7,110.0,Clear,clear sky
868,2012,British Grand Prix,52.0786,-1.01694,5111288,2012-07-08 12:00:00,16.88,78.0,2.75,337.0,Rain,light rain
869,2012,German Grand Prix,49.3278,8.56583,5465862,2012-07-22 12:00:00,19.12,40.0,2.6,0.0,Clouds,scattered clouds
870,2012,Hungarian Grand Prix,47.5789,19.2486,6065503,2012-07-29 12:00:00,29.46,0.0,3.6,80.0,Clear,clear sky
871,2012,Belgian Grand Prix,50.4372,5.97139,5348530,2012-09-02 12:00:00,18.67,0.0,3.0,300.0,Clear,clear sky
872,2012,Italian Grand Prix,45.6156,9.28111,4781221,2012-09-09 12:00:00,27.02,0.0,2.06,230.0,Clear,clear sky
873,2012,Singapore Grand Prix,1.2914,103.864,7226144,2012-09-23 12:00:00,29.93,75.0,1.54,230.0,Haze,haze
874,2012,Japanese Grand Prix,34.8431,136.541,5336242,2012-10-07 06:00:00,24.8,20.0,5.1,310.0,Clouds,few clouds
875,2012,Korean Grand Prix,34.7333,126.417,5788651,2012-10-14 06:00:00,21.25,40.0,3.1,340.0,Clouds,scattered clouds
876,2012,Indian Grand Prix,28.3487,77.5331,5470744,2012-10-28 09:30:00,26.39,0.0,2.31,330.0,Clear,clear sky
877,2012,Abu Dhabi Grand Prix,24.4672,54.6031,6358667,2012-11-04 13:00:00,30.14,0.0,7.2,340.0,Clear,clear sky
878,2012,United States Grand Prix,30.1328,-97.6411,5755269,2012-11-18 19:00:00,21.23,40.0,6.2,150.0,Clouds,scattered clouds
879,2012,Brazilian Grand Prix,-23.7036,-46.6997,6322656,2012-11-25 16:00:00,20.44,100.0,6.2,180.0,Rain,light rain
880,2013,Australian Grand Prix,-37.8497,144.968,5403225,2013-03-17 06:00:00,16.81,91.0,7.2,190.0,Clouds,overcast clouds
881,2013,Malaysian Grand Prix,2.76083,101.738,5936681,2013-03-24 08:00:00,29.29,75.0,5.14,50.0,Thunderstorm,thunderstorm
882,2013,Chinese Grand Prix,31.3389,121.22,5786945,2013-04-14 07:00:00,26.57,0.0,7.0,330.0,Clear,clear sky
883,2013,Bahrain Grand Prix,26.0325,50.5106,5760498,2013-04-21 12:00:00,24.76,0.0,10.5,360.0,Clear,clear sky
884,2013,Spanish Grand Prix,41.57,2.26111,5956596,2013-05-12 12:00:00,20.9,20.0,6.2,120.0,Clouds,few clouds
885,2013,Monaco Grand Prix,43.7347,7.42056,8272056,2013-05-26 12:00:00,18.32,20.0,4.12,160.0,Clouds,few clouds
886,2013,Canadian Grand Prix,45.5,-73.5228,5529143,2013-06-09 18:00:00,22.68,40.0,7.72,300.0,Clouds,scattered clouds
887,2013,British Grand Prix,52.0786,-1.01694,5579456,2013-06-30 12:00:00,21.22,25.0,6.23,246.0,Clouds,scattered clouds
888,2013,German Grand Prix,50.3356,6.9475,6074711,2013-07-07 12:00:00,23.0,1.0,3.98,53.0,Clear,clear sky
890,2013,Hungarian Grand Prix,47.5789,19.2486,6149445,2013-07-28 12:00:00,34.46,0.0,5.14,200.0,Clear,clear sky
891,2013,Belgian Grand Prix,50.4372,5.97139,5022196,2013-08-25 12:00:00,16.76,100.0,2.0,330.0,Rain,light rain
892,2013,Italian Grand Prix,45.6156,9.28111,4713352,2013-09-08 12:00:00,24.04,75.0,3.6,120.0,Rain,light rain
893,2013,Singapore Grand Prix,1.2914,103.864,7153132,2013-09-22 12:00:00,29.01,75.0,4.12,190.0,Clouds,broken clouds
894,2013,Korean Grand Prix,34.7333,126.417,6193701,2013-10-06 06:00:00,24.02,20.0,1.5,90.0,Clouds,few clouds
895,2013,Japanese Grand Prix,34.8431,136.541,5209301,2013-10-13 06:00:00,24.43,0.0,6.7,320.0,Clear,clear sky
896,2013,Indian Grand Prix,28.3487,77.5331,5472187,2013-10-27 09:30:00,27.38,18.0,3.44,322.0,Clouds,few clouds
897,2013,Abu Dhabi Grand Prix,24.4672,54.6031,5886106,2013-11-03 13:00:00,33.14,0.0,4.63,340.0,Clear,clear sky
898,2013,United States Grand Prix,30.1328,-97.6411,5957148,2013-11-17 19:00:00,29.01,20.0,5.14,170.0,Clouds,few clouds
899,2013,Brazilian Grand Prix,-23.7036,-46.6997,5556300,2013-11-24 16:00:00,20.9,100.0,5.14,150.0,Rain,moderate rain
900,2014,Australian Grand Prix,-37.8497,144.968,5578710,2014-03-16 06:00:00,18.29,100.0,10.3,270.0,Rain,light rain
901,2014,Malaysian Grand Prix,2.76083,101.738,6025974,2014-03-30 08:00:00,31.6,75.0,4.63,190.0,Clouds,broken clouds
902,2014,Bahrain Grand Prix,26.0325,50.5106,5982743,2014-04-06 15:00:00,22.28,0.0,5.87,2.0,Clear,clear sky
903,2014,Chinese Grand Prix,31.3389,121.22,5608338,2014-04-20 07:00:00,17.57,75.0,3.0,40.0,Clouds,broken clouds
904,2014,Spanish Grand Prix,41.57,2.26111,6065155,2014-05-11 12:00:00,23.46,40.0,7.2,130.0,Clouds,scattered clouds
905,2014,Monaco Grand Prix,43.7347,7.42056,6567661,2014-05-25 12:00:00,16.63,75.0,2.1,170.0,Clouds,broken clouds
906,2014,Canadian Grand Prix,45.5,-73.5228,5952830,2014-06-08 18:00:00,27.18,0.0,5.14,250.0,Clear,clear sky
907,2014,Austrian Grand Prix,47.2197,14.7647,5274976,2014-06-22 12:00:00,24.99,20.0,2.0,0.0,Clouds,few clouds
908,2014,British Grand Prix,52.0786,-1.01694,8812094,2014-07-06 12:00:00,18.17,99.0,3.77,263.0,Clouds,overcast clouds
909,2014,German Grand Prix,49.3278,8.56583,5622914,2014-07-20 12:00:00,25.95,0.0,4.12,190.0,Clear,clear sky
910,2014,Hungarian Grand Prix,47.5789,19.2486,6785058,2014-07-27 12:00:00,22.37,75.0,2.0,50.0,Rain,light rain
911,2014,Belgian Grand Prix,50.4372,5.97139,5076556,2014-08-24 12:00:00,14.22,40.0,4.0,270.0,Clouds,scattered clouds
912,2014,Italian Grand Prix,45.6156,9.28111,4750236,2014-09-07 12:00:00,24.78,0.0,2.1,150.0,Clear,clear sky
913,2014,Singapore Grand Prix,1.2914,103.864,7204795,2014-09-21 12:00:00,29.93,75.0,3.6,210.0,Haze,haze
914,2014,Japanese Grand Prix,34.8431,136.541,6703021,2014-10-05 06:00:00,20.94,100.0,2.1,360.0,Rain,light intensity shower rain
915,2014,Russian Grand Prix,43.4057,39.9578,5510744,2014-10-12 11:00:00,21.46,20.0,3.0,250.0,Clouds,few clouds
916,2014,United States Grand Prix,30.1328,-97.6411,6004785,2014-11-02 20:00:00,22.98,75.0,6.7,150.0,Clouds,broken clouds
917,2014,Brazilian Grand Prix,-23.7036,-46.6997,5402555,2014-11-09 16:00:00,24.51,75.0,5.7,150.0,Rain,light rain
918,2014,Abu Dhabi Grand Prix,24.4672,54.6031,5942619,2014-11-23 13:00:00,27.14,0.0,3.1,330.0,Clear,clear sky
926,2015,Australian Grand Prix,-37.8497,144.968,5514067,2015-03-15 05:00:00,17.84,0.0,8.2,210.0,Clear,clear sky
927,2015,Malaysian Grand Prix,2.76083,101.738,6065793,2015-03-29 07:00:00,30.43,75.0,1.5,120.0,Clouds,broken clouds
928,2015,Chinese Grand Prix,31.3389,121.22,5982008,2015-04-12 06:00:00,20.2,6.0,2.98,166.0,Clear,clear sky
929,2015,Bahrain Grand Prix,26.0325,50.5106,5705809,2015-04-19 15:00:00,24.19,0.0,7.24,352.0,Clear,clear sky
930,2015,Spanish Grand Prix,41.57,2.26111,6072555,2015-05-10 12:00:00,25.26,0.0,4.1,260.0,Clear,clear sky
931,2015,Monaco Grand Prix,43.7347,7.42056,6558420,2015-05-24 12:00:00,17.52,40.0,3.6,140.0,Clouds,scattered clouds
932,2015,Canadian Grand Prix,45.5,-73.5228,5513145,2015-06-07 18:00:00,20.74,100.0,5.7,160.0,Clouds,overcast clouds
933,2015,Austrian Grand Prix,47.2197,14.7647,5416930,2015-06-21 12:00:00,14.66,40.0,2.0,0.0,Clouds,scattered clouds
934,2015,British Grand Prix,52.0786,-1.01694,5487729,2015-07-05 12:00:00,19.25,71.0,3.99,235.0,Clouds,broken clouds
936,2015,Hungarian Grand Prix,47.5789,19.2486,6369985,2015-07-26 12:00:00,24.39,0.0,6.7,290.0,Clear,clear sky
937,2015,Belgian Grand Prix,50.4372,5.97139,5020387,2015-08-23 12:00:00,24.43,0.0,8.0,150.0,Clear,clear sky
938,2015,Italian Grand Prix,45.6156,9.28111,4680688,2015-09-06 12:00:00,21.74,19.0,1.0,80.0,Clouds,few clouds
939,2015,Singapore Grand Prix,1.2914,103.864,7282118,2015-09-20 12:00:00,30.87,75.0,3.1,40.0,Clouds,broken clouds
940,2015,Japanese Grand Prix,34.8431,136.541,5286508,2015-09-27 05:00:00,27.32,2.0,4.1,290.0,Clear,clear sky
941,2015,Russian Grand Prix,43.4057,39.9578,5831024,2015-10-11 11:00:00,17.19,0.0,3.0,160.0,Clear,clear sky
942,2015,United States Grand Prix,30.1328,-97.6411,6652703,2015-10-25 19:00:00,18.41,100.0,7.2,340.0,Rain,light rain
943,2015,Mexican Grand Prix,19.4042,-99.0907,6155038,2015-11-01 19:00:00,21.82,40.0,1.5,0.0,Clouds,scattered clouds
