raceId,driverId,milliseconds,time,lap,year,driver
845,20,92911,1:32.911,9,2011,Sebastian Vettel
845,20,107780,1:47.780,10,2011,Sebastian Vettel
845,20,90311,1:30.311,11,2011,Sebastian Vettel
845,20,89673,1:29.673,12,2011,Sebastian Vettel
845,20,89497,1:29.497,13,2011,Sebastian Vettel
845,20,89944,1:29.944,14,2011,Sebastian Vettel
845,20,89723,1:29.723,15,2011,Sebastian Vettel
845,20,89949,1:29.949,16,2011,Sebastian Vettel
845,20,90170,1:30.170,17,2011,Sebastian Vettel
845,20,93001,1:33.001,18,2011,Sebastian Vettel
845,20,104115,1:44.115,19,2011,Sebastian Vettel
845,20,88061,1:28.061,20,2011,Sebastian Vettel
845,20,87394,1:27.394,21,2011,Sebastian Vettel
845,20,88078,1:28.078,22,2011,Sebastian Vettel
845,20,88571,1:28.571,23,2011,Sebastian Vettel
845,20,88782,1:28.782,24,2011,Sebastian Vettel
845,20,88511,1:28.511,25,2011,Sebastian Vettel
845,20,88544,1:28.544,26,2011,Sebastian Vettel
845,20,88447,1:28.447,27,2011,Sebastian Vettel
845,20,88394,1:28.394,28,2011,Sebastian Vettel
845,20,88824,1:28.824,29,2011,Sebastian Vettel
845,20,89704,1:29.704,30,2011,Sebastian Vettel
845,20,88998,1:28.998,31,2011,Sebastian Vettel
845,20,89161,1:29.161,32,2011,Sebastian Vettel
845,20,90247,1:30.247,33,2011,Sebastian Vettel
845,20,92572,1:32.572,34,2011,Sebastian Vettel
845,20,106533,1:46.533,35,2011,Sebastian Vettel
845,20,88563,1:28.563,36,2011,Sebastian Vettel
845,20,88689,1:28.689,37,2011,Sebastian Vettel
845,20,88562,1:28.562,38,2011,Sebastian Vettel
845,20,88865,1:28.865,39,2011,Sebastian Vettel
845,20,88953,1:28.953,40,2011,Sebastian Vettel
845,20,88802,1:28.802,41,2011,Sebastian Vettel
845,20,88193,1:28.193,42,2011,Sebastian Vettel
845,20,87933,1:27.933,43,2011,Sebastian Vettel
845,20,88987,1:28.987,44,2011,Sebastian Vettel
845,20,88007,1:28.007,45,2011,Sebastian Vettel
845,20,88087,1:28.087,46,2011,Sebastian Vettel
845,20,88177,1:28.177,47,2011,Sebastian Vettel
845,20,91072,1:31.072,48,2011,Sebastian Vettel
845,20,104905,1:44.905,49,2011,Sebastian Vettel
845,20,87774,1:27.774,50,2011,Sebastian Vettel
845,20,87456,1:27.456,51,2011,Sebastian Vettel
845,20,87839,1:27.839,52,2011,Sebastian Vettel
845,20,87215,1:27.215,53,2011,Sebastian Vettel
845,20,87639,1:27.639,54,2011,Sebastian Vettel
845,20,88207,1:28.207,55,2011,Sebastian Vettel
845,20,87871,1:27.871,56,2011,Sebastian Vettel
845,20,87557,1:27.557,57,2011,Sebastian Vettel
845,20,87435,1:27.435,58,2011,Sebastian Vettel
845,20,87474,1:27.474,59,2011,Sebastian Vettel
845,20,87162,1:27.162,60,2011,Sebastian Vettel
