raceId,year,country,circuitId,grandprix,circuit,lat,lng,milliseconds,datetime,date,url,temp,clouds,wind_speed,wind_deg,weather_before,weather_main,weather_desc,precipitation,weather_during,Scheduled Laps,Laps
937,2015,Belgium,13,Belgian Grand Prix,Circuit de Spa-Francorchamps,50.4372,5.97139,5020387,2015-08-23 12:00:00,2015-08-23,http://en.wikipedia.org/wiki/2015_Belgian_Grand_Prix,24.43,0.0,8.0,150.0,Clouds,Clear,clear sky,,Rain,44,43
938,2015,Italy,14,Italian Grand Prix,Autodromo Nazionale di Monza,45.6156,9.28111,4680688,2015-09-06 12:00:00,2015-09-06,http://en.wikipedia.org/wiki/2015_Italian_Grand_Prix,21.74,19.0,1.0,80.0,Clear,Clouds,few clouds,,Clouds,53,53
939,2015,Singapore,15,Singapore Grand Prix,Marina Bay Street Circuit,1.2914,103.864,7282118,2015-09-20 12:00:00,2015-09-20,http://en.wikipedia.org/wiki/2015_Singapore_Grand_Prix,30.87,75.0,3.1,40.0,Clouds,Clouds,broken clouds,,Clouds,61,61
940,2015,Japan,22,Japanese Grand Prix,Suzuka Circuit,34.8431,136.541,5286508,2015-09-27 05:00:00,2015-09-27,http://en.wikipedia.org/wiki/2015_Japanese_Grand_Prix,27.32,2.0,4.1,290.0,Clear,Clear,clear sky,,Clouds,53,53
941,2015,Russia,71,Russian Grand Prix,Sochi Autodrom,43.4057,39.9578,5831024,2015-10-11 11:00:00,2015-10-11,http://en.wikipedia.org/wiki/2015_Russian_Grand_Prix,17.19,0.0,3.0,160.0,Clear,Clear,clear sky,,Clouds,53,53
942,2015,USA,69,United States Grand Prix,Circuit of the Americas,30.1328,-97.6411,6652703,2015-10-25 19:00:00,2015-10-25,http://en.wikipedia.org/wiki/2015_United_States_Grand_Prix,18.41,100.0,7.2,340.0,Clouds,Rain,light rain,0.22,Clouds,56,56
943,2015,Mexico,32,Mexican Grand Prix,Autódromo Hermanos Rodríguez,19.4042,-99.0907,6155038,2015-11-01 19:00:00,2015-11-01,http://en.wikipedia.org/wiki/2015_Mexican_Grand_Prix,21.82,40.0,1.5,0.0,Smoke,Clouds,scattered clouds,,Rain,71,71
944,2015,Brazil,18,Brazilian Grand Prix,Autódromo José Carlos Pace,-23.7036,-46.6997,5469090,2015-11-15 16:00:00,2015-11-15,http://en.wikipedia.org/wiki/2015_Brazilian_Grand_Prix,25.85,75.0,2.1,0.0,Rain,Clouds,broken clouds,,Clouds,71,71
945,2015,United Arab Emirates,24,Abu Dhabi Grand Prix,Yas Marina Circuit,24.4672,54.6031,5910175,2015-11-29 13:00:00,2015-11-29,http://en.wikipedia.org/wiki/2015_Abu_Dhabi_Grand_Prix,27.54,20.0,6.2,310.0,Clouds,Clouds,few clouds,,Clouds,55,55
948,2016,Australia,1,Australian Grand Prix,Albert Park Grand Prix Circuit,-37.8497,144.968,6495565,2016-03-20 05:00:00,2016-03-20,http://en.wikipedia.org/wiki/2016_Australian_Grand_Prix,22.21,0.0,6.2,150.0,Clear,Clear,clear sky,,Clear,58,57
949,2016,Bahrain,3,Bahrain Grand Prix,Bahrain International Circuit,26.0325,50.5106,5614696,2016-04-03 15:00:00,2016-04-03,http://en.wikipedia.org/wiki/2016_Bahrain_Grand_Prix,21.38,7.0,3.71,77.0,Clear,Clear,clear sky,,Clouds,57,57
950,2016,China,17,Chinese Grand Prix,Shanghai International Circuit,31.3389,121.22,5933891,2016-04-17 06:00:00,2016-04-17,http://en.wikipedia.org/wiki/2016_Chinese_Grand_Prix,21.41,0.0,3.0,90.0,Clear,Clear,clear sky,,Clear,56,56
